track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,"NA I'm a rolling thunder, pouring rain I'm coming on like a hurricane My lightning's flashing across the sky You're only young, but you're gonna die I won't take no prisoners, won't spare no lives Nobody's putting up a fight I got my bell, I'm gonna take you to hell I'm gonna get you, Satan get you Hell's bells Yeah, hell's bells You got me ringing Hell's bells My temperature's high Hell's bells I'll give you black sensations up and down your spine If you're into evil, you're a friend of mine See my white light flashing as I split the night'Cause if good's on the left, then I'm sticking to the right I won't take no prisoners, won't spare no lives Nobody's putting up a fight I got my bell, I'm gonna take you to hell I'm gonna get you, Satan get you Hell's bells Oh, hell's bells You got me ringing Hell's bells My temperature's high Hell's bells NA Hell's bells, Satan's comin' to you Hell's bells, he's ringing them now Those hell's bells, the temperature's high Hell's bells, across the sky Hell's bells, they're taking you down Hell's bells, they're dragging you under Hell's bells, gonna split the night Hell's bells, there's no way to fight, yeah Hell's bells",70,6mUdeDZCsExyJLMdAfDuwh,Back In Black,1980-07-25,Classic Rock Playlist.,7CESj1xKbxdArRzloygvkl,rock,classic rock,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,en
1MTMedlCphum6mRcd8YzvE,You Give Love A Bad Name,Bon Jovi,"Shot through the heart and you're to blame Darling, you give love a bad name An angel's smile is what you sell You promise me heaven, then put me through hell Chains of love got a hold on me When passion's a prison, you can't break free Whoa, you're a loaded gun, yeah Whoa, there's nowhere to run No one can save me, the damage is done Shot through the heart and you're to blame You give love a bad name (Bad name) I play my part and you play your game You give love a bad name (Bad name) Yeah, you give love a bad name Paint your smile on your lips Blood red nails on your fingertips A school boy's dream, you act so shy Your very first kiss was your first kiss goodbye Whoa, you're a loaded gun Whoa, there's nowhere to run No one can save me, the damage is done Shot through the heart and you're to blame You give love a bad name (Bad name) I play my part and you play your game You give love a bad name (Bad name) You give love a... NA Oh, shot through the heart and you're to blame You give love a bad name I play my part and you play your game You give love a bad name (Bad name) Shot through the heart and you're to blame You give love a bad name (Bad name) I play my part and you play your game You give love a bad name (Bad name) You give love You give love, bad name You give love You give love, bad name You give love You give love, bad name",3,0C8Poy7zwJ1kQh2sldyvHm,Bon Jovi Greatest Hits,2010-01-01,80s / Classic Rock,29dTrOurPDrMcrnio2q6hZ,rock,classic rock,0.5329999999999999,0.963,0,-2.528,0,0.0562,0.0353,1.33e-6,0.368,0.789,122.812,223147,en
1vNoA9F5ASnlBISFekDmg3,Zombie,Bad Wolves,"Another head hangs lowly Child is slowly taken And the violence causes silence Who are we mistaken? But you see, it's not me, it's not my family In your head, in your head, they are fighting With their tanks and their bombs and their bombs and their drones In your head, in your head, they are crying What's in your head, in your head? Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie, oh Another mother's breaking Heart is taking over When the violence causes silence We must be mistaken It's the same old theme in 2018 In your head, in your head, they're still fighting With their tanks and their bombs and their guns and their drones In your head, in your head, they are dying What's in your head, in your head? Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie, oh NA It's the same old theme in 2018 In your head, in your head, they are dying What's in your head, in your head? Zombie, zombie, zombie-ie-ie What's in your head, in your head? Zombie, zombie, zombie-ie-ie-ie, oh Oh, oh, oh, oh, oh, oh, yeah yeah",72,768Mgdrb3yUmNJ4HW4IJOL,Zombie,2018-01-19,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.448,0.826,2,-3.244,0,0.0319,0.007559999999999998,0,0.117,0.19,77.093,254805,en
1jHCw2Ek5I4H8gshB7DJtN,Wasted,Killakoi,(Verse 1) Every single day Every single word I know that I don't believe you But even if I wait I'm still gonna stay Cuz I still need you Everytime we're high I can hear the voice inside It's all so see through And even if I died I know you wouldn't cry Cuz the pain would feed you (Pre) I wish it all was over I don't know right from wrong (Chorus) Wasted All of the time Fighting like a coward Hooked on all the power Wasted Walkin the line Riding on the lies that Make it so I can't let go (Verse 2) It doesn't feel the same Every time it rains Even if the guilt keeps raging You can just pretend That this will never end But something's changing I can see it now You sorta showed me how you always made me crazy Hanging by a thread I know that I'd be dead If I let you save me (Pre) I wish it all was over I don't know right from wrong (Chorus) Wasted All of the time Fighting like a coward Hooked on all the power Wasted Walkin the line Riding on the lies that Make it so I can't let go (Bridge x2) Stand up Show em what your made of Fight back What are you afraid of You can't You're such a fucking loser Times up A victim of your future (Pre) I wish it all was over I don't know right from wrong (Chorus x2) Wasted All of the time Fighting like a coward Hooked on all the power Wasted Walkin the line Riding on the lies that Make it so I can't let go,34,5lFzC6u9VVYtY0MAGvB5bn,Wasted,2019-09-04,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,0.486,0.7140000000000001,2,-8.209,1,0.0433,1.02e-4,1e-4,0.0851,0.33,140.091,227911,en
3oX3F14vpkCMJnFoF3DSEr,I Want You To Want Me - Soundtrack,Letters To Cleo,"I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me I want you to want me I need you to need me I'd love you to love me I'll shine up my old brown shoes I'll put on a brand new shirt I'll get home early from work If you say that you love me Didn't I, didn't I, didn't I see you crying? Oh, didn't I, didn't I, didn't I see you crying? Feeling all alone without a friend you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying? I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me I'll shine up my old brown shoes I'll put on a brand new shirt I'll get home early from work If you say that you love me Didn't I, didn't I, didn't I see you crying? Oh, didn't I, didn't I, didn't I see you crying? Feeling all alone without a friend you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying? Hey Feeling all alone without a friend you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying? I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me I want you to want me I want you to want me I want you to want me I want you to want meeeee",3,2wQ7olOHDHVpgKmKajOxDf,10 Things I Hate About You,1999,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.273,0.84,0,-3.497,1,0.133,0.0238,9.21e-6,0.0707,0.6559999999999999,208.527,205907,en
3r7wIvLStJVlbTZsibIL2t,Valotte,Julian Lennon,"Sitting on the doorstep of the house I can't afford I can feel you there Thinking of a reason, well, it's really not very hard To love you even though you nearly lost my heart How can I explain the meaning of our love It fits so tight, closer than a glove Sitting on a pebble by the river playing guitar Wond'ring if we're really ever gonna get that far Do you know there's something wrong 'Cause I've felt it all along I can see your face in the mirrors of my mind Will you still be there? We're really not so clever as we seem to think we are We've always got our troubles so we solve them in the bar As the days go by, we seem to drift apart If I could only find a way to keep hold of your heart Sitting on a pebble by the river playing guitar Wond'ring if we're really ever gonna get that far Do you know there's something wrong 'Cause I've felt it all along Sitting in the valley as I watch the sun go down I can see you there Thinking of a reason, well, it's really not very hard To love you even though you nearly lost my heart When will we know when the change is gonna come I've got a good feeling and it's coming from the sun Sitting on a pebble by the river playing guitar Wond'ring if we're really ever gonna get that far Do you know there's something wrong We'll stick together 'cause we're strong",22,34AC5MVXna3ATiDYQSTmg7,Valotte,1984,80s Pop & Rock Hits and Album Tracks,0XOIK4m26aeYSD61E5nSVW,rock,album rock,0.563,0.419,0,-13.735,1,0.0261,0.168,0.0671,0.0986,0.22,72.233,254507,en
0Swvh86QCHSVk3yXUDeEM8,Let Me Go,Avril Lavigne,"Love that once hung on the wall Used to mean something, but now it means nothing The echoes are gone in the hall But I still remember, the pain of December Oh, there isn't one thing left you could say I'm sorry, it's too late I'm breaking free from these memories Gotta let it go, just let it go I've said goodbye, set it all on fire Gotta let it go, just let it go You came back to find I was gone And that place is empty, like the hole that was left in me Like we were nothing at all It's not what you meant to me Thought we were meant to be Oh, there isn't one thing left you could say I'm sorry, it's too late I'm breaking free from these memories Gotta let it go, just let it go I've said goodbye, set it all on fire Gotta let it go, just let it go I let it go (and now I know) A brand new life (is down this road) And when it's right (you always know) So this time (I won't let go!) There's only one thing left here to say Love's never too late! I've broken free from those memories I've let it go, I've let it go And two goodbyes Led to this new life Don't let me go, don't let me go (Oh, oh) (Oh, oh) (Oh, oh) Don't let me go Don't let me go Don't let me go Don't let me go (oh, oh) Won't let you go Don't let me go Won't let you go Don't let me go Won't let you go Don't let me go Won't let you go Don't let me go",5,512J2VIGOTP50qp5MNEUyG,Avril Lavigne,2013-11-06,New Hard Rock,64BvJcehegyvhqQtV82Ddz,rock,hard rock,0.389,0.667,4,-6.585,1,0.037000000000000005,0.197,0,0.135,0.118,164.22099999999998,267973,en
54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered,Queen,"Buddy, you're a boy, make a big noise Playing in the street, gonna be a big man someday You got mud on your face, you big disgrace Kicking your can all over the place, singing We will, we will rock you We will, we will rock you Buddy, you're a young man, hard man Shouting in the street, gonna take on the world someday You got blood on your face, you big disgrace Waving your banner all over the place We will, we will rock you Sing it out We will, we will rock you Buddy, you're an old man, poor man Pleading with your eyes, gonna make you some peace someday You got mud on your face, big disgrace Somebody better put you back into your place We will, we will rock you, sing it We will, we will rock you, everybody We will, we will rock you, hmm We will, we will rock you, alright NA Buddy, you're a boy, make a big noise Playing in the street, gonna be a big man someday You got mud on your face, you big disgrace Kicking your can all over the place, singing We will, we will rock you We will, we will rock you Buddy, you're a young man, hard man Shouting in the street, gonna take on the world someday You got blood on your face, you big disgrace Waving your banner all over the place We will, we will rock you Sing it out We will, we will rock you Buddy, you're an old man, poor man Pleading with your eyes, gonna make you some peace someday You got mud on your face, big disgrace Somebody better put you back into your place We will, we will rock you, sing it We will, we will rock you, everybody We will, we will rock you, hmm We will, we will rock you, alright NA",70,6Di4m5k1BtMJ0R44bWNutu,News Of The World (Deluxe Remastered Version),1977-10-28,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.693,0.4970000000000001,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067,en
0bSr5pybJSlgG5OZH441gF,Simply Irresistible,Robert Palmer,"How can it be permissible? She compromise my principle, yeah, yeah That kind of love is mythical She's anything but typical She's a craze you'd endorse, she's a powerful force You're obliged to conform when there's no other cause She used to look good to me, but now I find her Simply irresistible Simply irresistible Her loving is so powerful, huh! It's simply unavoidable The trend is irreversible The woman is invincible She's a natural law and she leaves me in awe She deserves the applause, I surrender because She used to look good to me, but now I find her Simply irresistible Simply irresistible Simply irresistible (She's so fine, there's no tellin' where the money went) Simply irresistible (She's all mine, there's no other way to go) She's unavoidable, I'm backed against the wall She gives me feelings like I never felt before I'm breaking promises, she's breaking every law She used to look good to me, now I find her Simply irresistible (She's so fine, there's no tellin' where the money went) Simply irresistible (She's all mine, there's no other way to go) Her methods are inscrutable The proof is irrefutable, (ooh...) She's so completely kissable, huh Our lives are indivisible, yeah yeah She's a craze you'd endorse, she's a powerful force You're obliged to conform when there's no other course She used to look good to me, but now I find her Simply irresistible Simply irresistible Simply irresistible (She's so fine, there's no tellin' where the money went) Simply irresistible (She's all mine, there's no other way to go) Simply irresistible (She's so fine, there's no tellin' where the money went) Simply irresistible (She's all mine, there's no other way to go) Simply irresistible!",50,1JvTsWrfYs2PR1PdSJXipq,Heavy Nova,1988-06-22,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.69,0.841,9,-13.357,1,0.0384,0.163,2.78e-6,0.0441,0.716,142.782,255093,en
16KCcwE616Sk4qTsW26wFf,Break Into Your Heart,Iggy Pop,"I'm gonna break into your heart I'm gonna crawl under your skin I'm gonna break into your heart And follow till I see where you begin Time's so tight, it's closing in Forty more hours to go When the tumblers spin, I'm getting in Gonna be time to blow I'm gonna break into your heart I'm gonna crawl under your skin I'm gonna break into your heart And follow till I see where you begin Hooks go deep, but it's make believe But you're never gonna grow Your heart is buried underneath Mountains capped with snow I'm gonna break into your heart I'm gonna crawl under your skin I'm gonna break into your heart And follow till I see where you begin Break them all Take them all Fake them all Steal them all Fail them all Touch them all Break them all Break them all I'm gonna break into your heart I'm gonna break into your heart I'm gonna break into your heart I'm gonna break into your heart Till it all comes crashing down I'm gonna break into your heart I'm gonna crawl under your skin I'm gonna break into your heart And follow till I get under your skin And the wall comes tumbling down And you finally let me in I'll break into your",38,5jRBK15ic9i5C8ucN5LTx1,Post Pop Depression,2016-03-18,Permanent Wave,5Go0Jsxj1UnsU7Om841BEo,rock,permanent wave,0.409,0.575,2,-6.876,0,0.0301,0.794,0.246,0.22,0.21,96.102,234561,en
